n partitions	n workers	list size	perc globals	perc writes	n ops	cos size	TP
4	4	1000	5	20	10000000	150	255084
4	5	1000	5	20	10000000	150	255181
4	6	1000	5	20	10000000	150	257894
4	7	1000	5	20	10000000	150	228355
4	8	1000	5	20	10000000	150	230677
4	9	1000	5	20	10000000	150	242764
4	10	1000	5	20	10000000	150	241884
4	11	1000	5	20	10000000	150	220454
4	12	1000	5	20	10000000	150	235579
4	13	1000	5	20	10000000	150	222426
4	14	1000	5	20	10000000	150	254336
4	15	1000	5	20	10000000	150	250735
4	16	1000	5	20	10000000	150	238928
4	17	1000	5	20	10000000	150	234742
4	18	1000	5	20	10000000	150	243443
4	19	1000	5	20	10000000	150	208956
4	20	1000	5	20	10000000	150	204450
4	21	1000	5	20	10000000	150	222386
4	22	1000	5	20	10000000	150	208443
4	23	1000	5	20	10000000	150	232361
4	24	1000	5	20	10000000	150	215551
4	26	1000	5	20	10000000	150	215079
6	1	1000	5	20	10000000	150	152300
6	2	1000	5	20	10000000	150	199556
6	3	1000	5	20	10000000	150	194911
6	4	1000	5	20	10000000	150	204223
6	5	1000	5	20	10000000	150	223305
6	6	1000	5	20	10000000	150	209522
6	7	1000	5	20	10000000	150	203937
6	8	1000	5	20	10000000	150	206917
6	9	1000	5	20	10000000	150	205932
6	10	1000	5	20	10000000	150	213843
6	11	1000	5	20	10000000	150	209401
6	12	1000	5	20	10000000	150	192739
6	13	1000	5	20	10000000	150	214794
6	14	1000	5	20	10000000	150	198703
6	15	1000	5	20	10000000	150	194646
6	16	1000	5	20	10000000	150	185918
6	17	1000	5	20	10000000	150	201901
6	18	1000	5	20	10000000	150	175441
6	19	1000	5	20	10000000	150	193375
6	20	1000	5	20	10000000	150	182193
6	21	1000	5	20	10000000	150	186094
6	22	1000	5	20	10000000	150	179731
6	23	1000	5	20	10000000	150	183612
6	24	1000	5	20	10000000	150	193468
6	26	1000	5	20	10000000	150	182086
